Episode   0 | Reward 7.11 | Avg Loss 0.0402 | Epsilon 0.998
Episode   1 | Reward -0.27 | Avg Loss 0.0364 | Epsilon 0.996
Episode   2 | Reward -3.00 | Avg Loss 0.0326 | Epsilon 0.994
Episode   3 | Reward -2.00 | Avg Loss 0.0307 | Epsilon 0.992
Episode   4 | Reward 9.07 | Avg Loss 0.0333 | Epsilon 0.990
Episode   5 | Reward 6.76 | Avg Loss 0.0340 | Epsilon 0.988
Episode   6 | Reward -0.54 | Avg Loss 0.0297 | Epsilon 0.986
Episode   7 | Reward -4.08 | Avg Loss 0.0232 | Epsilon 0.984
Episode   8 | Reward 9.70 | Avg Loss 0.0205 | Epsilon 0.982
Episode   9 | Reward -0.74 | Avg Loss 0.0185 | Epsilon 0.980
Episode  10 | Reward -2.38 | Avg Loss 0.0173 | Epsilon 0.978
Episode  11 | Reward 1.48 | Avg Loss 0.0111 | Epsilon 0.976
Episode  12 | Reward 2.01 | Avg Loss 0.0084 | Epsilon 0.974
Episode  13 | Reward -4.96 | Avg Loss 0.0078 | Epsilon 0.972
Episode  14 | Reward -2.00 | Avg Loss 0.0072 | Epsilon 0.970
Episode  15 | Reward -2.24 | Avg Loss 0.0069 | Epsilon 0.968
Episode  16 | Reward -1.83 | Avg Loss 0.0062 | Epsilon 0.967
Episode  17 | Reward -2.62 | Avg Loss 0.0058 | Epsilon 0.965
Episode  18 | Reward -2.70 | Avg Loss 0.0057 | Epsilon 0.963
Episode  19 | Reward 14.06 | Avg Loss 0.0055 | Epsilon 0.961
Episode  20 | Reward -3.86 | Avg Loss 0.0052 | Epsilon 0.959
Episode  21 | Reward 15.62 | Avg Loss 0.0098 | Epsilon 0.957
Episode  22 | Reward 2.84 | Avg Loss 0.0074 | Epsilon 0.955
Episode  23 | Reward 5.45 | Avg Loss 0.0071 | Epsilon 0.953
Episode  24 | Reward -2.21 | Avg Loss 0.0075 | Epsilon 0.951
Episode  25 | Reward 2.51 | Avg Loss 0.0068 | Epsilon 0.949
Episode  26 | Reward 4.10 | Avg Loss 0.0069 | Epsilon 0.947
Episode  27 | Reward -2.03 | Avg Loss 0.0066 | Epsilon 0.945
Episode  28 | Reward 9.99 | Avg Loss 0.0065 | Epsilon 0.944
Episode  29 | Reward 0.77 | Avg Loss 0.0066 | Epsilon 0.942
Episode  30 | Reward 0.07 | Avg Loss 0.0062 | Epsilon 0.940
Episode  31 | Reward 2.77 | Avg Loss 0.0095 | Epsilon 0.938
Episode  32 | Reward 9.89 | Avg Loss 0.0067 | Epsilon 0.936
Episode  33 | Reward 7.02 | Avg Loss 0.0069 | Epsilon 0.934
Episode  34 | Reward 7.27 | Avg Loss 0.0072 | Epsilon 0.932
Episode  35 | Reward 3.38 | Avg Loss 0.0068 | Epsilon 0.930
Episode  36 | Reward 0.47 | Avg Loss 0.0068 | Epsilon 0.929
Episode  37 | Reward 0.19 | Avg Loss 0.0066 | Epsilon 0.927
Episode  38 | Reward 0.03 | Avg Loss 0.0066 | Epsilon 0.925
Episode  39 | Reward 10.44 | Avg Loss 0.0067 | Epsilon 0.923
Episode  40 | Reward 0.11 | Avg Loss 0.0065 | Epsilon 0.921
Episode  41 | Reward 5.74 | Avg Loss 0.0120 | Epsilon 0.919
Episode  42 | Reward 8.88 | Avg Loss 0.0078 | Epsilon 0.918
Episode  43 | Reward 3.29 | Avg Loss 0.0074 | Epsilon 0.916
Episode  44 | Reward 4.48 | Avg Loss 0.0083 | Epsilon 0.914
Episode  45 | Reward 4.87 | Avg Loss 0.0075 | Epsilon 0.912
Episode  46 | Reward 6.25 | Avg Loss 0.0076 | Epsilon 0.910
Episode  47 | Reward 3.36 | Avg Loss 0.0074 | Epsilon 0.908
Episode  48 | Reward 4.90 | Avg Loss 0.0073 | Epsilon 0.907
Episode  49 | Reward 2.54 | Avg Loss 0.0077 | Epsilon 0.905
Episode  50 | Reward 1.15 | Avg Loss 0.0072 | Epsilon 0.903
Episode  51 | Reward 9.43 | Avg Loss 0.0148 | Epsilon 0.901
Episode  52 | Reward 1.49 | Avg Loss 0.0087 | Epsilon 0.899
Episode  53 | Reward 1.65 | Avg Loss 0.0087 | Epsilon 0.898
Episode  54 | Reward 20.97 | Avg Loss 0.0084 | Epsilon 0.896
Episode  55 | Reward 3.76 | Avg Loss 0.0088 | Epsilon 0.894
Episode  56 | Reward 13.16 | Avg Loss 0.0092 | Epsilon 0.892
Episode  57 | Reward 7.19 | Avg Loss 0.0082 | Epsilon 0.890
Episode  58 | Reward 9.25 | Avg Loss 0.0088 | Epsilon 0.889
Episode  59 | Reward 11.43 | Avg Loss 0.0089 | Epsilon 0.887
Episode  60 | Reward 0.11 | Avg Loss 0.0085 | Epsilon 0.885
Episode  61 | Reward 8.45 | Avg Loss 0.0135 | Epsilon 0.883
Episode  62 | Reward 11.09 | Avg Loss 0.0081 | Epsilon 0.882
Episode  63 | Reward 5.08 | Avg Loss 0.0078 | Epsilon 0.880
Episode  64 | Reward 5.23 | Avg Loss 0.0095 | Epsilon 0.878
Episode  65 | Reward 21.27 | Avg Loss 0.0083 | Epsilon 0.876
Episode  66 | Reward 6.88 | Avg Loss 0.0083 | Epsilon 0.874
Episode  67 | Reward 12.94 | Avg Loss 0.0087 | Epsilon 0.873
Episode  68 | Reward 13.28 | Avg Loss 0.0087 | Epsilon 0.871
Episode  69 | Reward 12.04 | Avg Loss 0.0080 | Epsilon 0.869
Episode  70 | Reward 10.64 | Avg Loss 0.0081 | Epsilon 0.867
Episode  71 | Reward 3.49 | Avg Loss 0.0154 | Epsilon 0.866
Episode  72 | Reward 7.58 | Avg Loss 0.0089 | Epsilon 0.864
Episode  73 | Reward 15.88 | Avg Loss 0.0095 | Epsilon 0.862
